candidate_id,lat,lon,radius_used_m,people_walk10,dist_to_osm_water_m,gsw_occ_mean,gsw_occ_max,soil_ph_0_5cm,soil_clay_pct_0_5cm,soil_sand_pct_0_5cm,soil_soc_gkg_0_5cm,soil_source,hand_proxy_m,slope_deg,modis_lst_C,ecostress_lst_C,smap_sm_m3m3,building_cover_pct,road_km_per_km2,cnt_schools__1200m,cnt_colleges__1200m,cnt_universities__1200m,cnt_hospitals__1200m,cnt_clinics__1200m,cnt_pharmacies__1200m,cnt_markets__1200m,cnt_libraries__1200m,cnt_community__1200m,cnt_police__1200m,cnt_fire__1200m,cnt_worship__1200m,cnt_playgrounds__1200m,cnt_sports__1200m,cnt_parks_gardens__1200m,cnt_supermarkets__1200m,cnt_schools__800m,cnt_colleges__800m,cnt_universities__800m,cnt_hospitals__800m,cnt_clinics__800m,cnt_pharmacies__800m,cnt_markets__800m,cnt_libraries__800m,cnt_community__800m,cnt_police__800m,cnt_fire__800m,cnt_worship__800m,cnt_playgrounds__800m,cnt_sports__800m,cnt_parks_gardens__800m,cnt_supermarkets__800m
1,24.006172119896323,90.09818823929595,1200,,97.1,1.3170731707317074,2.0,,,,,,,,29.07666666666671,,,,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2,24.003434283903985,90.06530912764802,1200,,41.1,5.82421875,11.0,,,,,,,,29.300458333333353,,,,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,23.972159716521123,90.10864588230494,1200,,53.9,2.871657754010695,5.0,,,,,,,,28.92686991869919,,,,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
4,23.90810757037251,90.21972296883398,800,,92.8,,,,,,,,,,30.95355555555559,,,,13.6,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5,23.932498350809446,90.12646181784297,1200,,220.1,1.1673469387755109,2.0,,,,,,,,29.522769230769242,,,,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6,23.992443861161355,90.11845626363286,1200,,2042.1,,,,,,,,,,29.056075949367113,,,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7,23.934022379423016,90.09278141213986,1200,,1095.9,6.69854132901135,22.0,,,,,,,,29.354000000000024,,,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,24.018241854293603,90.06915109236932,1200,,278.6,0.75,0.0,,,,,,,,29.28666666666669,,,,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9,23.944858966945716,90.07929207139351,1200,,1092.0,1.0,,,,,,,,,29.00200000000001,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,23.79654239389271,90.32178824207364,1200,,103.9,35.87994289793008,59.0,,,,,,,,28.940526315789516,,,0.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11,23.97393412372629,90.18171959551148,1200,,909.1,0.8301886792452833,2.0,,,,,,,,28.65801801801806,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
12,23.999497645814877,90.07886065376971,1200,,1048.3,0.35,1.0,,,,,,,,29.216666666666697,,,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,23.935897228259492,90.10904871840731,1200,,248.0,0.6,0.0,,,,,,,,29.37531645569624,,,,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
14,23.777284574275537,90.47481991332776,800,,82.8,22.905708787684407,35.0,,,,,,,,29.029589041095896,,,,3.9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,23.981058817480033,90.09764085388781,1200,,82.9,5.169172932330828,14.0,,,,,,,,29.02000000000004,,,,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16,23.96211536882924,90.12590224983,1200,,1137.4,0.8141592920353989,2.0,,,,,,,,28.997325102880726,,,,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
