candidate_id,lat,lon,radius_used_m,people_walk10,dist_to_osm_water_m,gsw_occ_mean,gsw_occ_max,soil_ph_0_5cm,soil_clay_pct_0_5cm,soil_sand_pct_0_5cm,soil_soc_gkg_0_5cm,soil_source,hand_proxy_m,slope_deg,modis_lst_C,ecostress_lst_C,smap_sm_m3m3,building_cover_pct,road_km_per_km2,cnt_schools__1200m,cnt_colleges__1200m,cnt_universities__1200m,cnt_hospitals__1200m,cnt_clinics__1200m,cnt_pharmacies__1200m,cnt_markets__1200m,cnt_libraries__1200m,cnt_community__1200m,cnt_police__1200m,cnt_fire__1200m,cnt_worship__1200m,cnt_playgrounds__1200m,cnt_sports__1200m,cnt_parks_gardens__1200m,cnt_supermarkets__1200m,cnt_schools__800m,cnt_colleges__800m,cnt_universities__800m,cnt_hospitals__800m,cnt_clinics__800m,cnt_pharmacies__800m,cnt_markets__800m,cnt_libraries__800m,cnt_community__800m,cnt_police__800m,cnt_fire__800m,cnt_worship__800m,cnt_playgrounds__800m,cnt_sports__800m,cnt_parks_gardens__800m,cnt_supermarkets__800m
1,24.902437141043226,89.06550134701585,1200,,1787.6,,,,,,,,,,28.54618395303328,,,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2,24.883304990251915,89.04969983437132,1200,,3226.2,29.81678082191781,42.0,,,,,,,,28.525767195767227,,,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,24.97189221078849,89.0534399380436,1200,,1024.3,18.0,,,,,,,,,28.711000000000027,,,,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
4,24.979952949162804,89.04777172543041,1200,,99.8,2.444444444444444,4.0,,,,,,,,28.87595890410963,,,,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
5,24.971524985299435,89.03622157912932,1200,,117.2,24.058441558441558,35.0,,,,,,,,29.141097560975645,,,,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6,24.894149665585857,89.0305127658522,1200,,2709.1,,,,,,,,,,28.224196428571464,,,,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7,24.87089169570417,89.04049817552878,1200,,3585.8,,,,,,,,,,28.85821917808222,,,,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,25.0232048022649,89.03469968285529,1200,,84.8,,,,,,,,,,30.133763066202107,,,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9,24.972448516583867,89.07003733962745,1200,,800.1,,,,,,,,,,28.35847050754462,,,,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,24.981317834155924,89.05856927349552,1200,,598.0,,,,,,,,,,28.564866385372735,,,,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11,25.022719088320628,89.03034171884411,800,,483.8,,,,,,,,,,30.003082706766957,,,0.0,5.3,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12,24.89428180932423,89.04512806074253,1200,,2047.3,0.0,0.0,,,,,,,,28.170180831826453,,,,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,25.023542821505405,89.02784712441773,800,,609.8,,,,,,,,,,29.975714285714332,,,0.0,5.7,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
14,24.97811314752881,89.06847143958429,1200,,284.1,,,,,,,,,,28.249728997290028,,,,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
15,24.871128775268602,89.01208020565478,1200,,850.9,,,,,,,,,,28.500037593984977,,,,3.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16,24.971082644648135,89.07900976301157,1200,,191.2,41.0,,,,,,,,,28.523125000000014,,,,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
17,24.98269907723121,89.03420124915739,1200,,486.2,,,,,,,,,,28.83271341463418,,,,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
18,24.867674217053924,89.01832163061381,1200,,1586.6,,,,,,,,,,28.255714285714305,,,,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
19,24.985642808556804,89.02672871522086,800,,925.4,,,,,,,,,,28.50750000000005,,,,4.9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,24.97326714062261,89.03762620149682,1200,,92.9,9.370044052863435,13.0,,,,,,,,28.995993150684964,,,,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
